,Address,Day,Details,Amount,Balance
153,42 3rd Street Rent,19,Rent,-38.02306,11632.92
154,41 3rd Street Rent,19,Rent,-13.54097,11619.38
155,Karbucks Revenue,18,Revenue,580.9,12200.28
156,Lily Barton (Katalytica Daily Wage),19,Wage,-387.0,11813.28
157,Tommy Brooks (Karbucks Daily Wage),19,Wage,-44.0,11769.28
158,37 3rd Street Rent,20,Rent,-9.478683,11759.8
159,Katalytica Revenue,19,Revenue,770.0,12529.8
160,42 3rd Street Rent,20,Rent,-38.02306,12491.78
161,41 3rd Street Rent,20,Rent,-13.54097,12478.24
162,Karbucks Revenue,19,Revenue,468.03,12946.27
163,48 1st Street Deposit,20,Deposit,-459.6686,12486.6
164,48 1st Street Rent,20,Rent,-12.32229,12474.28
165,Ticket for illegal parking of UMCDesert,20,ParkingTicket,-125.0,12349.28
166,Recruitment Campaign,20,RecruitmentCampaign,-1000.0,11349.28
167,Recruitment Campaign,20,RecruitmentCampaign,-1000.0,10349.28
168,Recruitment Campaign,20,RecruitmentCampaign,-500.0,9849.279
169,Lily Barton (Katalytica Daily Wage),20,Wage,-387.0,9462.279
170,Tommy Brooks (Karbucks Daily Wage),20,Wage,-44.0,9418.279
171,37 3rd Street Rent,21,Rent,-9.478683,9408.801
172,Katalytica Revenue,20,Revenue,770.0,10178.8
173,48 1st Street Rent,21,Rent,-12.32229,10166.48
174,42 3rd Street Rent,21,Rent,-38.02306,10128.46
175,41 3rd Street Rent,21,Rent,-13.54097,10114.91
176,Karbucks Revenue,20,Revenue,377.02,10491.93
177,Lily Barton (Katalytica Daily Wage),21,Wage,-387.0,10104.93
178,Tommy Brooks (Karbucks Daily Wage),21,Wage,-44.0,10060.93
179,37 3rd Street Rent,22,Rent,-9.478683,10051.46
180,Katalytica Revenue,21,Revenue,770.0,10821.46
181,48 1st Street Rent,22,Rent,-12.32229,10809.13
182,42 3rd Street Rent,22,Rent,-38.02306,10771.11
183,41 3rd Street Rent,22,Rent,-13.54097,10757.57
184,Karbucks Revenue,21,Revenue,710.06,11467.63
185,Purchase from Mr. Scott's Office Supplies,22,ItemPurchase,-1200.0,10267.63
186,Purchase from Square Appliances,22,ItemPurchase,-2370.0,7897.628
187,59 3rd Street Deposit,22,Deposit,-2819.759,5077.869
188,59 3rd Street Rent,22,Rent,-75.99196,5001.877
189,Evie Jones (Katalytica Daily Wage),22,Wage,-504.0,4497.877
190,Zoe Gomez (Karbucks Daily Wage),22,Wage,-160.0,4337.877
191,Tommy Brooks (Karbucks Daily Wage),22,Wage,-44.0,4293.877
192,Christian Hall (KaraKata Holdings Daily Wage),22,Wage,-184.0,4109.877
193,Merit Johnson (KaraKata Holdings Daily Wage),22,Wage,-224.0,3885.877
194,Lewis Morris (KaraKata Holdings Daily Wage),22,Wage,-46.0,3839.877
195,Public parking for UMC Desert,22,PublicParking,-15.0,3824.877
196,37 3rd Street Rent,23,Rent,-9.478683,3815.398
197,Katalytica Revenue,22,Revenue,770.0,4585.398
198,48 1st Street Rent,23,Rent,-12.32229,4573.076
199,42 3rd Street Rent,23,Rent,-38.02306,4535.053
200,59 3rd Street Rent,23,Rent,-75.99196,4459.061
201,41 3rd Street Rent,23,Rent,-13.54097,4445.52
202,Karbucks Revenue,22,Revenue,569.21,5014.73
203,Jensen Capital Loan Payout,23,LoanPayout,20000.0,25014.73
204,Purchase from NY Distro Inc,23,ItemPurchase,-308.9209,24705.81
205,Evie Jones (Katalytica Daily Wage),23,Wage,-504.0,24201.81
206,Christian Hall (KaraKata Holdings Daily Wage),23,Wage,-184.0,24017.81
207,Merit Johnson (KaraKata Holdings Daily Wage),23,Wage,-224.0,23793.81
208,Lewis Morris (KaraKata Holdings Daily Wage),23,Wage,-184.0,23609.81
209,37 3rd Street Rent,24,Rent,-9.478683,23600.33
210,Katalytica Revenue,23,Revenue,770.0,24370.33
211,48 1st Street Rent,24,Rent,-12.32229,24358.01
212,42 3rd Street Rent,24,Rent,-38.02306,24319.99
213,59 3rd Street Rent,24,Rent,-75.99196,24243.99
214,41 3rd Street Rent,24,Rent,-13.54097,24230.45
215,Jensen Capital Loan Payment,24,LoanPayment,-100.0,24130.45
216,Recruitment Campaign,24,RecruitmentCampaign,-1000.0,23130.45
217,UMC Desert,24,VehicleBought,-6000.0,17130.45
218,Purchase from Kabob's Kebabs,24,ItemPurchase,-17.9,17112.55
219,Evie Jones (Katalytica Daily Wage),24,Wage,-504.0,16608.55
220,Zoe Gomez (Karbucks Daily Wage),24,Wage,-128.0,16480.55
221,Tommy Brooks (Karbucks Daily Wage),24,Wage,-44.0,16436.55
222,Christian Hall (KaraKata Holdings Daily Wage),24,Wage,-184.0,16252.55
223,Merit Johnson (KaraKata Holdings Daily Wage),24,Wage,-224.0,16028.55
224,Lewis Morris (KaraKata Holdings Daily Wage),24,Wage,-184.0,15844.55
225,Katherine Moss (Karbucks Daily Wage),24,Wage,-100.0,15744.55
226,37 3rd Street Rent,25,Rent,-9.478683,15735.07
227,Katalytica Revenue,24,Revenue,770.0,16505.07
228,48 1st Street Rent,25,Rent,-12.32229,16492.75
229,42 3rd Street Rent,25,Rent,-38.02306,16454.73
230,59 3rd Street Rent,25,Rent,-75.99196,16378.74
231,41 3rd Street Rent,25,Rent,-13.54097,16365.2
232,Karbucks Revenue,24,Revenue,839.05,17204.25
233,Jensen Capital Loan Payment,25,LoanPayment,-100.0,17104.25
234,Purchase from AJ Pederson & Son,25,ItemPurchase,-6000.0,11104.25
235,Jensen Capital Loan Payout,25,LoanPayout,15000.0,26104.25
236,Purchase from NY Distro Inc,25,ItemPurchase,-418.4532,25685.79
237,Evie Jones (Katalytica Daily Wage),25,Wage,-504.0,25181.79
238,Tommy Brooks (Karbucks Daily Wage),25,Wage,-44.0,25137.79
239,Christian Hall (KaraKata Holdings Daily Wage),25,Wage,-184.0,24953.79
240,Merit Johnson (KaraKata Holdings Daily Wage),25,Wage,-224.0,24729.79
241,Lewis Morris (KaraKata Holdings Daily Wage),25,Wage,-184.0,24545.79
242,Katherine Moss (Karbucks Daily Wage),25,Wage,-200.0,24345.79
243,Nicholas Torres (Warehouse #1 Daily Wage),25,Wage,-136.8,24208.99
244,37 3rd Street Rent,26,Rent,-9.478683,24199.51
245,Katalytica Revenue,25,Revenue,770.0,24969.51
246,48 1st Street Rent,26,Rent,-12.32229,24957.19
247,42 3rd Street Rent,26,Rent,-38.02306,24919.17
248,59 3rd Street Rent,26,Rent,-75.99196,24843.18
249,41 3rd Street Rent,26,Rent,-13.54097,24829.63
250,Karbucks Revenue,25,Revenue,717.13,25546.77
251,Delivery from SeaSide Internationals,26,ImportDelivery,-6108.007,19438.76
252,Jensen Capital Loan Payment,26,LoanPayment,-100.0,19338.76
253,Jensen Capital Loan Payment,26,LoanPayment,-75.0,19263.76
254,Lily Barton (Katalytica Daily Wage),26,Wage,-387.0,18876.76
255,Zoe Gomez (Karbucks Daily Wage),26,Wage,-256.0,18620.76
256,Tommy Brooks (Karbucks Daily Wage),26,Wage,-44.0,18576.76
257,Christian Hall (KaraKata Holdings Daily Wage),26,Wage,-184.0,18392.76
258,Merit Johnson (KaraKata Holdings Daily Wage),26,Wage,-224.0,18168.76
259,Lewis Morris (KaraKata Holdings Daily Wage),26,Wage,-184.0,17984.76
260,Nicholas Torres (Warehouse #1 Daily Wage),26,Wage,-136.8,17847.96
261,37 3rd Street Rent,27,Rent,-9.478683,17838.48
262,Katalytica Revenue,26,Revenue,770.0,18608.48
263,48 1st Street Rent,27,Rent,-12.32229,18596.16
264,42 3rd Street Rent,27,Rent,-38.02306,18558.13
265,59 3rd Street Rent,27,Rent,-75.99196,18482.14
266,41 3rd Street Rent,27,Rent,-13.54097,18468.6
267,Karbucks Revenue,26,Revenue,268.2,18736.8
268,Jensen Capital Loan Payment,27,LoanPayment,-100.0,18636.8
269,Jensen Capital Loan Payment,27,LoanPayment,-75.0,18561.8
270,Purchase from NY Distro Inc,27,ItemPurchase,-144.0,18417.8
271,Purchase from AJ Pederson & Son,27,ItemPurchase,-11350.0,7067.799
272,Purchase from AJ Pederson & Son,27,ItemPurchase,-2300.0,4767.799
273,7 3rd Avenue Deposit,27,Deposit,-1386.081,3381.718
274,7 3rd Avenue Rent,27,Rent,-42.2027,3339.515
275,Euro Energy High payout,27,InvestmentPayout,9926.334,13265.85
276,Purchase from Square Appliances,27,ItemPurchase,-1200.0,12065.85
277,Lily Barton (Katalytica Daily Wage),27,Wage,-387.0,11678.85
278,Tommy Brooks (Karbucks Daily Wage),27,Wage,-44.0,11634.85
279,Katherine Moss (Karbucks Daily Wage),27,Wage,-200.0,11434.85
280,Nicholas Torres (Warehouse #1 Daily Wage),27,Wage,-136.8,11298.05
281,Public parking for UMC Desert,27,PublicParking,-15.0,11283.05
282,37 3rd Street Rent,28,Rent,-9.478683,11273.57
283,Katalytica Revenue,27,Revenue,770.0,12043.57
284,48 1st Street Rent,28,Rent,-12.32229,12031.25
285,42 3rd Street Rent,28,Rent,-38.02306,11993.23
286,59 3rd Street Rent,28,Rent,-75.99196,11917.23
287,41 3rd Street Rent,28,Rent,-13.54097,11903.69
288,Karbucks Revenue,27,Revenue,910.63,12814.32
289,7 3rd Avenue Rent,28,Rent,-42.2027,12772.12
290,Delivery from United Ocean Import ,28,ImportDelivery,-5257.609,7514.51
291,Jensen Capital Loan Payment,28,LoanPayment,-100.0,7414.51
292,Jensen Capital Loan Payment,28,LoanPayment,-75.0,7339.51
293,Purchase from NY Distro Inc,28,ItemPurchase,-144.0,7195.51
294,Purchase from IKA BOHAG,28,ItemPurchase,-80.0,7115.51
295,Lily Barton (Katalytica Daily Wage),28,Wage,-387.0,6728.51
296,Zoe Gomez (Karbucks Daily Wage),28,Wage,-160.0,6568.51
297,Tommy Brooks (Karbucks Daily Wage),28,Wage,-44.0,6524.51
298,Katherine Moss (Karbucks Daily Wage),28,Wage,-150.0,6374.51
299,Nicholas Torres (Warehouse #1 Daily Wage),28,Wage,-136.8,6237.71
300,Public parking for UMC Desert,28,PublicParking,-45.0,6192.71
301,37 3rd Street Rent,29,Rent,-9.478683,6183.231
302,Katalytica Revenue,28,Revenue,770.0,6953.231
303,48 1st Street Rent,29,Rent,-12.32229,6940.909
304,42 3rd Street Rent,29,Rent,-38.02306,6902.886
305,59 3rd Street Rent,29,Rent,-75.99196,6826.894
306,41 3rd Street Rent,29,Rent,-13.54097,6813.353
307,Karbucks Revenue,28,Revenue,1267.97,8081.323
308,7 3rd Avenue Rent,29,Rent,-42.2027,8039.121
309,Katara Jewels Revenue,28,Revenue,648.0,8687.121
310,Jensen Capital Loan Payment,29,LoanPayment,-100.0,8587.121
311,Jensen Capital Loan Payment,29,LoanPayment,-75.0,8512.121
312,Interior Designer,29,InteriorDesigner,-4960.0,3552.121
313,Interior Designer,29,InteriorDesigner,-160.0,3392.121
314,Purchase from The Busy Goat,29,ItemPurchase,-9.9,3382.221
315,Evie Jones (Katalytica Daily Wage),29,Wage,-504.0,2878.221
316,Zoe Gomez (Karbucks Daily Wage),29,Wage,-288.0,2590.221
317,Tommy Brooks (Karbucks Daily Wage),29,Wage,-44.0,2546.221
318,Christian Hall (KaraKata Holdings Daily Wage),29,Wage,-184.0,2362.221
319,Merit Johnson (KaraKata Holdings Daily Wage),29,Wage,-224.0,2138.221
320,Lewis Morris (KaraKata Holdings Daily Wage),29,Wage,-184.0,1954.221
321,Nicholas Torres (Warehouse #1 Daily Wage),29,Wage,-136.8,1817.421
322,Public parking for UMC Desert,29,PublicParking,-97.5,1719.921
323,37 3rd Street Rent,30,Rent,-9.478683,1710.443
324,Katalytica Revenue,29,Revenue,770.0,2480.442
325,48 1st Street Rent,30,Rent,-12.32229,2468.12
326,42 3rd Street Rent,30,Rent,-38.02306,2430.097
327,59 3rd Street Rent,30,Rent,-75.99196,2354.105
328,41 3rd Street Rent,30,Rent,-13.54097,2340.564
329,Karbucks Revenue,29,Revenue,1065.77,3406.334
330,7 3rd Avenue Rent,30,Rent,-42.2027,3364.132
331,Katara Jewels Revenue,29,Revenue,1760.0,5124.132
332,Jensen Capital Loan Payment,30,LoanPayment,-100.0,5024.132
333,Jensen Capital Loan Payment,30,LoanPayment,-75.0,4949.132
334,Evie Jones (Katalytica Daily Wage),30,Wage,-504.0,4445.132
335,Zoe Gomez (Karbucks Daily Wage),30,Wage,-256.0,4189.132
336,Tommy Brooks (Karbucks Daily Wage),30,Wage,-44.0,4145.132
337,Christian Hall (KaraKata Holdings Daily Wage),30,Wage,-184.0,3961.132
338,Merit Johnson (KaraKata Holdings Daily Wage),30,Wage,-224.0,3737.132
339,Lewis Morris (KaraKata Holdings Daily Wage),30,Wage,-184.0,3553.132
340,Nicholas Torres (Warehouse #1 Daily Wage),30,Wage,-136.8,3416.332
341,37 3rd Street Rent,31,Rent,-9.478683,3406.853
342,Katalytica Revenue,30,Revenue,791.0,4197.853
343,48 1st Street Rent,31,Rent,-12.32229,4185.531
344,42 3rd Street Rent,31,Rent,-38.02306,4147.508
345,59 3rd Street Rent,31,Rent,-75.99196,4071.516
346,41 3rd Street Rent,31,Rent,-13.54097,4057.975
347,Karbucks Revenue,30,Revenue,959.48,5017.455
348,7 3rd Avenue Rent,31,Rent,-42.2027,4975.252
349,Katara Jewels Revenue,30,Revenue,960.0,5935.252
350,Jensen Capital Loan Payment,31,LoanPayment,-100.0,5835.252
351,Jensen Capital Loan Payment,31,LoanPayment,-75.0,5760.252
352,Purchase from Discount Market,31,ItemPurchase,-16.0,5744.252
353,Evie Jones (Katalytica Daily Wage),31,Wage,-560.0,5184.252
354,Tommy Brooks (Karbucks Daily Wage),31,Wage,-44.0,5140.252
355,Christian Hall (KaraKata Holdings Daily Wage),31,Wage,-184.0,4956.252
356,Merit Johnson (KaraKata Holdings Daily Wage),31,Wage,-224.0,4732.252
357,Lewis Morris (KaraKata Holdings Daily Wage),31,Wage,-184.0,4548.252
358,Katherine Moss (Karbucks Daily Wage),31,Wage,-200.0,4348.252
359,Nicholas Torres (Warehouse #1 Daily Wage),31,Wage,-136.8,4211.453
360,37 3rd Street Rent,32,Rent,-9.478683,4201.974
361,Katalytica Revenue,31,Revenue,904.0,5105.974
362,48 1st Street Rent,32,Rent,-12.32229,5093.652
363,42 3rd Street Rent,32,Rent,-38.02306,5055.629
364,59 3rd Street Rent,32,Rent,-75.99196,4979.637
365,41 3rd Street Rent,32,Rent,-13.54097,4966.096
366,Karbucks Revenue,31,Revenue,856.75,5822.846
367,7 3rd Avenue Rent,32,Rent,-42.2027,5780.643
368,Katara Jewels Revenue,31,Revenue,825.0,6605.643
369,Jensen Capital Loan Payment,32,LoanPayment,-100.0,6505.643
370,Jensen Capital Loan Payment,32,LoanPayment,-75.0,6430.643
371,Evie Jones (Katalytica Daily Wage),32,Wage,-560.0,5870.643
372,Zoe Gomez (Karbucks Daily Wage),32,Wage,-192.0,5678.643
373,Tommy Brooks (Karbucks Daily Wage),32,Wage,-44.0,5634.643
374,Christian Hall (KaraKata Holdings Daily Wage),32,Wage,-184.0,5450.643
375,Merit Johnson (KaraKata Holdings Daily Wage),32,Wage,-224.0,5226.643
376,Lewis Morris (KaraKata Holdings Daily Wage),32,Wage,-184.0,5042.643
377,Katherine Moss (Karbucks Daily Wage),32,Wage,-200.0,4842.643
378,Nicholas Torres (Warehouse #1 Daily Wage),32,Wage,-136.8,4705.843
379,37 3rd Street Rent,33,Rent,-9.478683,4696.365
380,Katalytica Revenue,32,Revenue,904.0,5600.365
381,48 1st Street Rent,33,Rent,-12.32229,5588.042
382,42 3rd Street Rent,33,Rent,-38.02306,5550.02
383,59 3rd Street Rent,33,Rent,-75.99196,5474.027
384,41 3rd Street Rent,33,Rent,-13.54097,5460.486
385,Karbucks Revenue,32,Revenue,939.08,6399.566
386,7 3rd Avenue Rent,33,Rent,-42.2027,6357.364
387,Katara Jewels Revenue,32,Revenue,990.0,7347.364
388,Delivery from United Ocean Import ,33,ImportDelivery,-5257.609,2089.754
389,Jensen Capital Loan Payment,33,LoanPayment,-100.0,1989.754
390,Jensen Capital Loan Payment,33,LoanPayment,-75.0,1914.754
391,Purchase from Discount Market,33,ItemPurchase,-24.0,1890.754
392,Lily Barton (Katalytica Daily Wage),33,Wage,-430.0,1460.754
393,Zoe Gomez (Karbucks Daily Wage),33,Wage,-256.0,1204.754
394,Tommy Brooks (Karbucks Daily Wage),33,Wage,-44.0,1160.754
395,Christian Hall (KaraKata Holdings Daily Wage),33,Wage,-184.0,976.7544
396,Merit Johnson (KaraKata Holdings Daily Wage),33,Wage,-224.0,752.7544
397,Lewis Morris (KaraKata Holdings Daily Wage),33,Wage,-184.0,568.7544
398,Nicholas Torres (Warehouse #1 Daily Wage),33,Wage,-136.8,431.9544
399,37 3rd Street Rent,34,Rent,-9.478683,422.4757
400,Katalytica Revenue,33,Revenue,904.0,1326.476
401,48 1st Street Rent,34,Rent,-12.32229,1314.153
402,42 3rd Street Rent,34,Rent,-38.02306,1276.13
403,59 3rd Street Rent,34,Rent,-75.99196,1200.138
404,41 3rd Street Rent,34,Rent,-13.54097,1186.597
405,Karbucks Revenue,33,Revenue,962.34,2148.938
406,7 3rd Avenue Rent,34,Rent,-42.2027,2106.735
407,Katara Jewels Revenue,33,Revenue,1320.0,3426.735
408,Jensen Capital Loan Payment,34,LoanPayment,-100.0,3326.735
409,Jensen Capital Loan Payment,34,LoanPayment,-75.0,3251.735
410,Lily Barton (Katalytica Daily Wage),34,Wage,-430.0,2821.735
411,Tommy Brooks (Karbucks Daily Wage),34,Wage,-44.0,2777.735
412,Katherine Moss (Karbucks Daily Wage),34,Wage,-200.0,2577.735
413,Nicholas Torres (Warehouse #1 Daily Wage),34,Wage,-136.8,2440.935
